[2023-07-04 11:15:52.034015] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 53
[2023-07-04 11:15:52.047701] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 80
[2023-07-04 11:15:52.057339] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 5000
[2023-07-04 11:16:46.106227] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 8080
[2023-07-04 11:16:46.119925] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 8081
[2023-07-04 11:16:46.120449] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 8443
[2023-07-04 11:29:05.548980] [SYN Scanning] Find Open on ip = 192.168.87.20  port = 6668
[2023-07-04 11:52:01.137470] [SYN Scanning] Find Open on ip = 192.168.87.22  port = 6668
[2023-07-04 12:03:14.728085] [SYN Scanning] Find Open on ip = 192.168.87.26  port = 6668
[2023-07-04 12:15:14.691365] [SYN Scanning] Find Open on ip = 192.168.87.27  port = 6668
[2023-07-04 12:27:15.223447] [SYN Scanning] Find Open on ip = 192.168.87.28  port = 6668
[2023-07-04 12:38:04.677859] [SYN Scanning] Find Open on ip = 192.168.87.29  port = 22
[2023-07-04 12:39:44.041726] [SYN Scanning] Find Open on ip = 192.168.87.30  port = 80
[2023-07-04 12:51:50.267321] [SYN Scanning] Find Open on ip = 192.168.87.31  port = 80
[2023-07-04 13:18:30.533709] [SYN Scanning] Find Open on ip = 192.168.87.36  port = 6668
[2023-07-04 13:29:50.939884] [SYN Scanning] Find Open on ip = 192.168.87.41  port = 6668
[2023-07-04 13:41:54.749401] [SYN Scanning] Find Open on ip = 192.168.87.42  port = 6668
[2023-07-04 13:52:56.352857] [SYN Scanning] Find Open on ip = 192.168.87.46  port = 80
[2023-07-04 13:53:53.765131] [SYN Scanning] Find Open on ip = 192.168.87.46  port = 8080
[2023-07-04 13:53:53.773234] [SYN Scanning] Find Open on ip = 192.168.87.46  port = 8081
[2023-07-04 13:53:53.774858] [SYN Scanning] Find Open on ip = 192.168.87.46  port = 8443
[2023-07-04 14:03:49.336632] [SYN Scanning] Find Open on ip = 192.168.87.47  port = 80
[2023-07-04 14:04:44.445392] [SYN Scanning] Find Open on ip = 192.168.87.47  port = 8080
[2023-07-04 14:04:44.473651] [SYN Scanning] Find Open on ip = 192.168.87.47  port = 8081
[2023-07-04 14:04:44.501762] [SYN Scanning] Find Open on ip = 192.168.87.47  port = 8443
[2023-07-04 14:19:37.853074] [SYN Scanning] Find Open on ip = 192.168.87.48  port = 8080
