[2023-07-04 05:06:53.812919] [SYN Scanning] Starting.
[2023-07-04 05:06:53.815978] [Packet Capture] Starting.
[2023-07-04 05:06:54.822750] [SYN Scanning] Start scanning All 65K popular over IPs: 192.168.87.1, 192.168.87.20, 192.168.87.22, 192.168.87.26, 192.168.87.27, 192.168.87.28, 192.168.87.29, 192.168.87.30, 192.168.87.31, 192.168.87.35, 192.168.87.36, 192.168.87.41, 192.168.87.42, 192.168.87.46, 192.168.87.47, 192.168.87.48, 192.168.87.49, 192.168.87.83, 192.168.87.85, 192.168.87.89
[2023-07-04 05:07:45.753017] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 53
[2023-07-04 05:07:45.765550] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 80
[2023-07-04 05:07:45.775257] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 5000
[2023-07-04 05:08:27.952303] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 8080
[2023-07-04 05:08:27.960409] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 8081
[2023-07-04 05:08:27.964624] [SYN Scanning] Find Open on ip = 192.168.87.1  port = 8443
[2023-07-04 05:20:20.367316] [SYN Scanning] Find Open on ip = 192.168.87.20  port = 6668
[2023-07-04 05:44:53.846586] [SYN Scanning] Find Open on ip = 192.168.87.26  port = 6668
[2023-07-04 06:09:16.669535] [SYN Scanning] Find Open on ip = 192.168.87.28  port = 6668
[2023-07-04 06:20:05.262979] [SYN Scanning] Find Open on ip = 192.168.87.29  port = 22
[2023-07-04 06:21:00.523234] [SYN Scanning] Find Open on ip = 192.168.87.29  port = 51760
[2023-07-04 06:48:46.543935] [SYN Scanning] Find Open on ip = 192.168.87.35  port = 6668
[2023-07-04 07:00:55.859824] [SYN Scanning] Find Open on ip = 192.168.87.36  port = 6668
[2023-07-04 07:13:06.182387] [SYN Scanning] Find Open on ip = 192.168.87.41  port = 6668
[2023-07-04 07:25:18.636967] [SYN Scanning] Find Open on ip = 192.168.87.42  port = 6668
[2023-07-04 07:36:28.137071] [SYN Scanning] Find Open on ip = 192.168.87.46  port = 80
[2023-07-04 07:38:21.992664] [SYN Scanning] Find Open on ip = 192.168.87.46  port = 8080
[2023-07-04 07:38:22.000911] [SYN Scanning] Find Open on ip = 192.168.87.46  port = 8081
[2023-07-04 07:38:22.010046] [SYN Scanning] Find Open on ip = 192.168.87.46  port = 8443
[2023-07-04 07:48:38.826528] [SYN Scanning] Find Open on ip = 192.168.87.47  port = 80
[2023-07-04 07:50:32.095966] [SYN Scanning] Find Open on ip = 192.168.87.47  port = 8080
[2023-07-04 07:50:32.111148] [SYN Scanning] Find Open on ip = 192.168.87.47  port = 8081
[2023-07-04 07:50:32.118781] [SYN Scanning] Find Open on ip = 192.168.87.47  port = 8443
[2023-07-04 08:00:49.737464] [SYN Scanning] Find Open on ip = 192.168.87.48  port = 80
[2023-07-04 08:18:27.524010] [SYN Scanning] Find Open on ip = 192.168.87.49  port = 6668
[2023-07-04 09:06:53.722813] [SYN Scanning] Done Scan For this Round
